id,title,type,area,priority,status,sprint,est_tokens,actual_tokens,variance,created_at,completed_at,file,description
BACKLOG-019,Returning User Experience,feature,ui,Medium,Pending,-,-,-,-,2025-12-15,,-,
BACKLOG-020,Device UUID Licensing,feature,electron,High,Obsolete,-,-,-,-,2025-12-15,,-,
BACKLOG-021,License Management System,feature,infra,High,Obsolete,-,-,-,-,2025-12-15,,-,
BACKLOG-022,Minimizable iPhone Sync Modal,feature,ui,Medium,Pending,-,-,-,-,2025-12-15,,-,
BACKLOG-023,Detailed Sync Progress,feature,ui,High,Pending,-,-,-,-,2025-12-15,,-,
BACKLOG-024,Auto-Start Sync on Launch,feature,service,Medium,Pending,-,-,-,-,2025-12-15,,-,
BACKLOG-025,Resume Failed Sync Prompt,feature,ui,Medium,Pending,-,-,-,-,2025-12-15,,-,
BACKLOG-026,Skip Driver Install Check,feature,electron,High,Pending,-,-,-,-,2025-12-15,,-,
BACKLOG-027,Skip Mailbox Permission,feature,service,Medium,Pending,-,-,-,-,2025-12-15,,-,
BACKLOG-028,Create App Logo & Branding,chore,ui,Medium,Pending,-,-,-,-,2025-12-15,,-,
BACKLOG-029,App Startup Performance,feature,electron,Medium,Pending,-,-,-,-,2025-12-15,,-,
BACKLOG-030,Message Parser Async Yielding,feature,service,Critical,Completed,-,-,-,-,2025-12-15,,-,
BACKLOG-031,Incremental Backup Size Estimation,feature,service,High,Pending,-,-,-,-,2025-12-15,,-,
BACKLOG-032,Handle Backup Already in Progress,bug,service,Critical,Completed,SPRINT-014,-,-,"TASK-904, 910",2025-12-15,2026-01-02,-,
BACKLOG-033,Check Supabase Terms Acceptance,feature,service,High,Pending,-,-,-,-,2025-12-15,,-,
BACKLOG-034,Phone Type Card Layout,feature,ui,Medium,Completed,-,-,-,-,2025-12-15,2026-01-23,-,
BACKLOG-035,Remove Orphaned Table,chore,schema,Critical,Completed,SPRINT-003,20-30K,~40K,+25%,2025-12-16,2025-12-17,[BACKLOG-035.md](BACKLOG-035.md),
BACKLOG-036,Fix Sync Phase UI Text,bug,ui,Medium,Pending,-,-,-,-,2025-12-15,,-,
BACKLOG-037,Don't Fail Sync on Disconnect,bug,service,High,Pending,SPRINT-093,~35K,-,-,2025-12-15,,-,Rollout readiness item #18. Sync fails without retry or partial save on network disconnect. TASK-2049.
BACKLOG-038,Schema Mismatch contacts.name,bug,schema,Critical,Completed,SPRINT-003,40-60K,~30K,-36%,2025-12-16,2025-12-17,[BACKLOG-038.md](BACKLOG-038.md),
BACKLOG-039,Schema Mismatch transactions.status,bug,schema,Critical,Completed,SPRINT-003,40-60K,~100K,+100%,2025-12-16,2025-12-17,[BACKLOG-039.md](BACKLOG-039.md),
BACKLOG-040,ContactsService macOS Paths,bug,service,Medium,Deferred,-,-,-,-,2025-12-15,,-,
BACKLOG-041,Create UX Engineer Agent,docs,infra,Medium,Obsolete,-,-,-,-,2025-12-15,,-,
BACKLOG-042,Lookback Period Not Persistent,bug,service,Medium,Completed,-,-,-,-,2025-12-15,2026-01-23,-,
BACKLOG-043,Settings Screen Not Scrollable,bug,ui,Medium,Completed,-,-,-,-,2025-12-15,2026-01-23,-,
BACKLOG-044,Multiple Contacts Per Role,feature,ui,Critical,Completed,-,-,-,Backend + UI implemented,2025-12-15,2025-12-20,,
BACKLOG-045,Block Contact Deletion,feature,service,Critical,Completed,-,-,-,getTransactionsByContact + tests,2025-12-15,2025-12-20,,
BACKLOG-046,DB Init Circuit Breaker,feature,service,Medium,Pending,-,-,-,-,2025-12-15,,-,
BACKLOG-047,Contact Deletion Query Fix,bug,service,Medium,Pending,-,-,-,-,2025-12-15,,-,
BACKLOG-048,Transaction Edit Preserve Tab,bug,ui,Medium,Completed,-,-,-,-,2025-12-15,2026-01-23,-,
BACKLOG-049,Communications Tab,feature,ui,Medium,Pending,-,-,-,-,2025-12-15,,-,
BACKLOG-050,Attachments Tab,feature,ui,Medium,Completed,SPRINT-010,-,-,Addressed by TASK-706,2025-12-15,,,
BACKLOG-051,Delete Comms/Attachments,feature,service,Medium,Pending,-,-,-,-,2025-12-15,,-,
BACKLOG-052,AI Transaction Timeline,feature,ui,Medium,Pending,-,-,-,-,2025-12-15,,-,
BACKLOG-053,Manually Add Communications,feature,ui,Medium,Pending,-,-,-,-,2025-12-15,,-,
BACKLOG-054,Render Email HTML,feature,ui,Medium,Completed,SPRINT-010,~35K-55K,-,Addressed by TASK-701,2025-12-15,,,
BACKLOG-055,AI House Viewing Extraction,feature,service,Medium,Pending,-,-,-,-,2025-12-15,,-,
BACKLOG-056,macOS Code Signing Fix,bug,infra,High,Obsolete,-,-,-,-,2025-12-15,,-,
BACKLOG-057,Login Auth Timeout Retry,bug,security,Medium,Completed,SPRINT-092,~30K,-,-,2025-12-15,2026-02-22,-,Completed via PR #928 (TASK-2044). Login retry mechanism on auth failure.
BACKLOG-058,Split databaseService.ts,refactor,service,Critical,Completed,SPRINT-002,200-300K,~135K,-54%,2025-12-15,2025-12-16,[BACKLOG-058.md](BACKLOG-058.md),
BACKLOG-059,Fix Skipped Tests (27+),test,service,Critical,Completed,SPRINT-002,48-72K,~65K,-7%,2025-12-15,2025-12-16,[BACKLOG-059.md](BACKLOG-059.md),
BACKLOG-060,Fix N+1 Query Pattern,refactor,service,High,Completed,SPRINT-002,40-60K,~55K,+12%,2025-12-15,2025-12-16,[BACKLOG-060.md](BACKLOG-060.md),
BACKLOG-061,Refactor Transactions.tsx,refactor,ui,High,Completed,SPRINT-009,-,-,Addressed by TASK-605,2025-12-15,2025-12-27,,
BACKLOG-062,Refactor Contacts.tsx,refactor,ui,High,Completed,SPRINT-009,-,-,Addressed by TASK-606,2025-12-15,2025-12-27,,
BACKLOG-063,Refactor useAppStateMachine.ts,refactor,electron,High,Completed,SPRINT-009,-,-,Tests added by TASK-614,2025-12-15,2025-12-27,,
BACKLOG-064,Add Batch DB Operations,feature,service,Medium,Pending,-,-,-,-,2025-12-15,,-,
BACKLOG-065,Remove Console Statements,refactor,infra,Medium,Completed,SPRINT-009,-,-,Addressed by TASK-616,2025-12-15,2025-12-27,,
BACKLOG-066,LLM Transaction Detection,feature,service,High,Obsolete,-,-,-,Covered by AI MVP (BACKLOG-073-079),2025-12-15,,,
BACKLOG-067,AI Timeline Builder,feature,service,High,Pending,-,-,-,-,2025-12-15,,-,
BACKLOG-068,Contact Deduplication,feature,service,Medium,Pending,-,-,-,-,2025-12-15,,-,
BACKLOG-069,Telemetry & Analytics,feature,infra,Low,Deferred,-,-,-,-,2025-12-15,,-,
BACKLOG-070,Enterprise User Management,feature,security,Low,Completed,-,-,-,-,2025-12-15,2026-02-16,Users/roles/invite management portal with SCIM/JIT provisioning,
BACKLOG-071,Atomic Transaction Creation,feature,service,Low,Pending,-,-,-,-,2025-12-15,,-,
BACKLOG-072,Enforce Engineer Workflow Compliance,chore,infra,Critical,Completed,SPRINT-003,90-140K,~52K,-62%,2025-12-16,2025-12-17,[BACKLOG-072.md](BACKLOG-072.md),
BACKLOG-073,AI MVP Phase 0 - Schema Foundation,feature,schema,Critical,Completed,SPRINT-004,~50K,-,[BACKLOG-073.md](BACKLOG-073.md),2025-12-16,2025-12-17,,
BACKLOG-074,AI MVP Phase 1 - LLM Infrastructure,feature,service,Critical,Completed,SPRINT-004,~70K,-,[BACKLOG-074.md](BACKLOG-074.md),2025-12-16,2025-12-17,,
BACKLOG-075,AI MVP Phase 2 - AI Analysis Tools,feature,service,High,Completed,SPRINT-005,~70K,-,[BACKLOG-075.md](BACKLOG-075.md),2025-12-16,,,
BACKLOG-076,AI MVP Phase 3 - Hybrid Pipeline,feature,service,High,Completed,SPRINT-005,~85K,-,[BACKLOG-076.md](BACKLOG-076.md),2025-12-16,,,
BACKLOG-077,AI MVP Phase 4 - Feedback Loop,feature,service,Medium,Completed,SPRINT-006,~25K,-,[BACKLOG-077.md](BACKLOG-077.md),2025-12-16,,,
BACKLOG-078,AI MVP Phase 5 - UI Enhancements,feature,ui,Medium,Completed,SPRINT-006,~40K,-,[BACKLOG-078.md](BACKLOG-078.md),2025-12-16,,,
BACKLOG-079,AI MVP Phase 6 - Integration Testing,test,service,Medium,Completed,SPRINT-006,~40K,-,[BACKLOG-079.md](BACKLOG-079.md),2025-12-16,,,
BACKLOG-081,Consolidate AI Consent into T&C,feature,ui,Medium,Pending,-,-,-,[BACKLOG-081.md](BACKLOG-081.md),2025-12-20,,,
BACKLOG-082,Consolidate Database Connection Systems,refactor,service,Medium,Completed,-,-,-,Main DB consolidated into databaseService singleton; external system DBs are separate by design,2026-01-23,2026-02-17,[BACKLOG-082.md](items/BACKLOG-082.md),
BACKLOG-083,Fix schema_version Migration Warning,bug,schema,Medium,Completed,-,-,-,schema_version table handled with IF NOT EXISTS guards + explicit existence checks in BACKLOG-592 consolidation,2026-01-23,2026-02-17,[BACKLOG-083.md](items/BACKLOG-083.md),
BACKLOG-084,Thread-Based Transaction Detection,feature,service,High,Completed,SPRINT-007,-,-,[BACKLOG-084.md](BACKLOG-084.md),2025-12-20,,,
BACKLOG-085,Test Thread-Based Detection Accuracy,test,service,High,Completed,SPRINT-007,-,-,[BACKLOG-085.md](BACKLOG-085.md),2025-12-20,,,
BACKLOG-086,Local ML Model with Hybrid Training,feature,service,Medium,Pending,-,-,-,[BACKLOG-086.md](BACKLOG-086.md),2025-12-20,,,
BACKLOG-087,Onboarding Value Proposition Screen,feature,ui,Medium,Pending,-,-,-,[BACKLOG-087.md](BACKLOG-087.md),2025-12-20,,,
BACKLOG-088,Per-User Local ML Model,feature,service,High,Pending,-,-,-,[BACKLOG-088.md](BACKLOG-088.md),2025-12-20,,,
BACKLOG-089,Password Manager Support in Authentication,feature,security,Medium,Pending,-,-,-,[BACKLOG-089.md](BACKLOG-089.md),2025-12-23,,,
BACKLOG-090,Incremental Sync - Only Process New Data,feature,service,High,Completed,SPRINT-014,-,-,"TASK-906, 907, 908, 911",2025-12-23,2026-01-02,[BACKLOG-090.md](BACKLOG-090.md),
BACKLOG-091,Prevent Duplicate Emails Across Providers,bug,service,High,Completed,SPRINT-014/015,-,-,"Phase 1 (TASK-905, 909), Phase 2 (TASK-917, 918, 919)",2025-12-23,,[BACKLOG-091.md](BACKLOG-091.md),
BACKLOG-092,Rename transactionDetailsModule,refactor,ui,Low,Pending,-,~10K,-,[BACKLOG-092.md](BACKLOG-092.md),2025-12-27,,,
BACKLOG-093,Create common/ Module,refactor,service,Medium,Pending,-,~15K,-,[BACKLOG-093.md](BACKLOG-093.md),2025-12-27,,,
BACKLOG-094,Create llm/ Module,refactor,service,Medium,Pending,-,~10K,-,[BACKLOG-094.md](BACKLOG-094.md),2025-12-27,,,
BACKLOG-095,Create email/ Module,refactor,service,Medium,Pending,-,~20K,-,[BACKLOG-095.md](BACKLOG-095.md),2025-12-27,,,
BACKLOG-096,Create system/ Module,refactor,electron,Medium,Pending,-,~20K,-,[BACKLOG-096.md](BACKLOG-096.md),2025-12-27,,,
BACKLOG-097,Relocate Root-Level Test Files,refactor,infra,Medium,Pending,-,~30K,-,[BACKLOG-097.md](BACKLOG-097.md),2025-12-27,,,
BACKLOG-098,Split AuditTransactionModal.tsx,refactor,ui,High,Pending,-,~30K,-,[BACKLOG-098.md](BACKLOG-098.md),2025-12-27,,,
BACKLOG-099,Split EmailOnboardingScreen.tsx,refactor,ui,High,Pending,-,~35K,-,[BACKLOG-099.md](BACKLOG-099.md),2025-12-27,,,
BACKLOG-100,Create auth/ Module,refactor,security,Medium,Pending,-,~15K,-,[BACKLOG-100.md](BACKLOG-100.md),2025-12-27,,,
BACKLOG-101,Split PermissionsScreen.tsx,refactor,ui,Medium,Pending,-,~22K,-,[BACKLOG-101.md](BACKLOG-101.md),2025-12-27,,,
BACKLOG-102,Security Hardening Evaluation,chore,security,Medium,Pending,-,~30K,-,[BACKLOG-102.md](BACKLOG-102.md),2025-12-27,,,
BACKLOG-103,Fix Contact Selection Issue,bug,ui,High,Completed,SPRINT-010,~25K-40K,-,Addressed by TASK-700,2025-12-28,,,
BACKLOG-104,Dashboard UI to Emphasize Auto-Detection,feature,ui,Medium,Completed,SPRINT-010,~35K-50K,-,Addressed by TASK-705,2025-12-28,,,
BACKLOG-105,Text Messages Tab in Transaction Details,feature,ui,High,Completed,SPRINT-010,~80K-120K,-,Addressed by TASK-702/703/704,2025-12-28,,,
BACKLOG-106,Add Behavioral Tests for useAppStateMachine,test,electron,Medium,Pending,-,-,-,-,2026-01-23,,[BACKLOG-106.md](items/BACKLOG-106.md),
BACKLOG-107,Split useAppStateMachine.ts into Flow Hooks,refactor,electron,Critical,Completed,SPRINT-013,~100K,~36K,-55%,2025-12-28,2026-01-01,[BACKLOG-107.md](BACKLOG-107.md),
BACKLOG-108,Fix Flaky appleDriverService Test,bug,service,Critical,Completed,SPRINT-011,~10K,~19K,-67%,2025-12-28,2026-01-01,[BACKLOG-108.md](BACKLOG-108.md),
BACKLOG-109,Reduce AppRouter.tsx to <300 Lines,refactor,ui,High,Completed,SPRINT-013,~20K,~12K,-83%,2025-12-28,2026-01-01,[BACKLOG-109.md](BACKLOG-109.md),
BACKLOG-110,Reduce AppShell.tsx to <150 Lines,refactor,ui,High,Completed,SPRINT-013,~15K,~8K,-43%,2025-12-28,2026-01-01,[BACKLOG-110.md](BACKLOG-110.md),
BACKLOG-111,Migrate Components to Service Abstractions,refactor,ipc,High,Pending,-,~150K,-,[BACKLOG-111.md](BACKLOG-111.md),2025-12-28,,,
BACKLOG-112,Boost Test Coverage for src/hooks/,test,ui,Medium,Pending,-,~150K,-,[BACKLOG-112.md](BACKLOG-112.md),2025-12-28,,,
BACKLOG-113,Boost Test Coverage for src/utils/,test,service,Medium,Pending,-,~80K,-,[BACKLOG-113.md](BACKLOG-113.md),2025-12-28,,,
BACKLOG-114,Boost Test Coverage for electron/utils/,test,electron,Medium,Pending,-,~80K,-,[BACKLOG-114.md](BACKLOG-114.md),2025-12-28,,,
BACKLOG-115,Address Remaining any Types in Electron Handlers,refactor,electron,Medium,Pending,-,~150K,-,[BACKLOG-115.md](BACKLOG-115.md),2025-12-28,,,
BACKLOG-116,Bring Google Login to Feature Parity with Microsoft,feature,security,Medium,Pending,-,~60K,-,[BACKLOG-116.md](BACKLOG-116.md),2025-12-28,,,
BACKLOG-117,Fix Sprint 009 Auth Regressions (Preload Sandbox + Google Login),bug,security,Critical,Completed,-,~20K,~13K,-70%,2025-12-28,,[BACKLOG-117.md](BACKLOG-117.md),
BACKLOG-118,Fix OnboardingFlow React Hooks Order Bug,bug,ui,High,Completed,-,~10K,~8K,-50%,2025-12-28,,[BACKLOG-118.md](BACKLOG-118.md),
BACKLOG-119,Audit OAuth Handler Parity (Google/Microsoft),refactor,security,Low,Pending,-,~50K,-,-,2025-12-28,,[BACKLOG-119.md](BACKLOG-119.md),
BACKLOG-120,CI Testing Infrastructure Gaps,chore,infra,Medium,Pending,-,~80K,-,-,2025-12-29,,[BACKLOG-120.md](BACKLOG-120.md),
BACKLOG-121,Add Generator Approach Guidance for Large Fixtures,docs,infra,High,Completed,SPRINT-015,~10K,~800K-1.1M,~100x,2026-01-01,2026-01-02,[BACKLOG-121.md](BACKLOG-121.md),
BACKLOG-122,Improve Engineer Agent Worktree Instructions,docs,infra,Medium,Completed,-,~10K,~8K,-50%,2026-01-01,,[BACKLOG-122.md](BACKLOG-122.md),
BACKLOG-123,Update Test Category Estimation Multiplier,docs,infra,Low,Pending,-,~5K,-,-,2026-01-01,,[BACKLOG-123.md](BACKLOG-123.md),
BACKLOG-124,Add Sprint Completion Checklist to PM Workflow,docs,infra,Medium,Completed,SPRINT-012,~10K,-,"TASK-805, PR #262",2026-01-01,2026-01-01,[BACKLOG-124.md](BACKLOG-124.md),
BACKLOG-125,Enforce Metrics Collection for All Sprints,docs,infra,Low,Pending,-,~8K,-,-,2026-01-01,,[BACKLOG-125.md](BACKLOG-125.md),
BACKLOG-126,Enforce Debugging Metrics with Commit Verification,docs,infra,High,Completed,SPRINT-012,~20K,-,"TASK-806, PR #262",2026-01-01,2026-01-01,[BACKLOG-126.md](BACKLOG-126.md),
BACKLOG-127,Add Sprint Capacity Limits to PM Workflow,docs,infra,Medium,Completed,SPRINT-012,~6K,-,"TASK-807, PR #262",2026-01-01,2026-01-01,[BACKLOG-127.md](BACKLOG-127.md),
BACKLOG-128,Add Type Verification Checklist for Fixture Tasks,docs,infra,Medium,Completed,SPRINT-012,~6K,-,"TASK-808, PR #262",2026-01-01,2026-01-01,[BACKLOG-128.md](BACKLOG-128.md),
BACKLOG-129,Create CI Troubleshooting Documentation,docs,infra,Medium,Completed,SPRINT-012,~10K,-,"TASK-809, PR #262",2026-01-01,2026-01-01,[BACKLOG-129.md](BACKLOG-129.md),
BACKLOG-130,Sub-Agent Permission Auto-Denial Incident,docs,infra,High,Completed,SPRINT-012,~8K,-,"TASK-810, PR #262",2026-01-01,2026-01-01,[BACKLOG-130.md](BACKLOG-130.md),
BACKLOG-131,Fix PR Metrics Validation Shell Escaping Bug,bug,infra,Medium,Pending,-,-,-,-,2026-01-23,,[BACKLOG-131.md](items/BACKLOG-131.md),
BACKLOG-132,Mandatory Worktree for Parallel/Background Agents,docs,infra,Critical,Completed,SPRINT-015,~5K,~23K,+360%,2026-01-02,2026-01-02,[BACKLOG-132.md](BACKLOG-132.md),
BACKLOG-133,Engineer Token Cap with Early Reporting,docs,infra,High,Completed,SPRINT-015,~10K,~800K-1.1M,~100x,2026-01-02,2026-01-02,TASK-914,
BACKLOG-134,Engineer Token Optimization,chore,infra,Medium,Pending,-,-,-,-,2026-01-23,,[BACKLOG-134.md](items/BACKLOG-134.md),
BACKLOG-135,Fix window.d.ts Type Definitions,refactor,ipc,Medium,Completed,SPRINT-015,~10K,~10K,0%,2026-01-02,2026-01-02,TASK-916,
BACKLOG-136,PM Token Monitoring Workflow,docs,infra,High,Completed,SPRINT-015,~5K,~5K,-50%,2026-01-02,2026-01-02,Hotfix during SPRINT-015,
BACKLOG-137,Automatic Token Tracking Tooling,feature,infra,High,Completed,-,~40K,~34K,-56%,2026-01-02,2026-01-03,[BACKLOG-137.md](BACKLOG-137.md),
BACKLOG-138,Turns/Self-Reported Metrics Cleanup,docs,infra,Medium,Completed,-,~75K,-,PR #282,2026-01-03,2026-01-03,[BACKLOG-138.md](BACKLOG-138.md),
BACKLOG-139,Comprehensive Database Initialization Gate,bug,service,Critical,Completed,SPRINT-019,~40K,~889K,+2122%,2026-01-03,2026-01-03,[BACKLOG-139.md](BACKLOG-139.md),
BACKLOG-140,Duplicate Transaction Re-Import Prevention,bug,service,High,Completed,SPRINT-023,~30K,-,"TASK-964, PR #317",2026-01-03,2026-01-03,[BACKLOG-140.md](BACKLOG-140.md),
BACKLOG-141,Fix Onboarding Flicker for Returning Users (Quick Fix),bug,ui,Medium,Pending,-,~10K,-,-,2026-01-03,,[BACKLOG-141.md](BACKLOG-141.md),
BACKLOG-142,State Coordination Layer Overhaul,refactor,electron,Critical,Completed,SPRINT-020/021/022,~850K,-,Multi-phase,2026-01-03,,[BACKLOG-142.md](BACKLOG-142.md),
BACKLOG-143,Prevent Duplicate Contact Imports,bug,service,Medium,Pending,SPRINT-055a,~40K,-,-,2026-01-04,,[BACKLOG-143.md](BACKLOG-143.md),
BACKLOG-144,Enforce SR Engineer Review Before PR Merge,chore,infra,Medium,Pending,-,-,-,-,2026-01-23,,[BACKLOG-144.md](items/BACKLOG-144.md),
BACKLOG-145,Duplicate Contact Keys in ImportContactsModal,bug,ui,Medium,Obsolete,SPRINT-055a,~10K,-,Duplicate of BACKLOG-143,2026-01-23,,[BACKLOG-145.md](items/BACKLOG-145.md),
BACKLOG-146,Prevent Stuck Jest Worker Processes from Agent Runs,chore,infra,Medium,Pending,-,-,-,-,2026-01-23,,[BACKLOG-146.md](items/BACKLOG-146.md),
BACKLOG-147,Secure Storage Setup Should Not Show for Returning Users,bug,ui,Medium,Pending,-,-,-,-,2026-01-23,,[BACKLOG-147.md](items/BACKLOG-147.md),
BACKLOG-148,Split databaseService.ts into Domain Services,refactor,service,High,Completed,SPRINT-023,~60K,-,"TASK-961, PR #315",2026-01-04,2026-01-04,[BACKLOG-148.md](BACKLOG-148.md),
BACKLOG-149,Delete Deprecated EmailOnboardingScreen.tsx,refactor,ui,Medium,Completed,SPRINT-023,~15K,-,"TASK-960, PR #314",2026-01-04,2026-01-04,[BACKLOG-149.md](BACKLOG-149.md),
BACKLOG-150,Reduce useAppStateMachine.ts Return Object,refactor,electron,Low,Completed,SPRINT-028,~10K,-,"TASK-1006, PR #367",2026-01-04,2026-01-10,[BACKLOG-150.md](BACKLOG-150.md),
BACKLOG-151,Reduce AppModals.tsx Below 150-Line Trigger,refactor,ui,Low,Pending,-,~5K,-,-,2026-01-04,,[BACKLOG-151.md](BACKLOG-151.md),
BACKLOG-152,Split TransactionDetails.tsx into Tab Components,refactor,ui,Medium,Completed,SPRINT-023,~25K,-,-,2026-01-04,,[BACKLOG-152.md](BACKLOG-152.md),
BACKLOG-153,State Machine Email Connection Gap,bug,electron,Medium,Pending,-,-,-,-,2026-01-23,,[BACKLOG-153.md](items/BACKLOG-153.md),
BACKLOG-154,Enforce Branch Protection for All Work,chore,infra,Medium,Pending,-,-,-,-,2026-01-23,,[BACKLOG-154.md](items/BACKLOG-154.md),
BACKLOG-155,Dashboard Unnecessary Vertical Scroll,bug,ui,Low,Completed,SPRINT-028,~10K,-,"TASK-1004, PR #365",2026-01-04,2026-01-10,[BACKLOG-155.md](BACKLOG-155.md),
BACKLOG-156,Auto-Refresh Data Sources on App Load,feature,service,High,Completed,SPRINT-028,~40K,-,"TASK-1003, PR #369",2026-01-04,2026-01-10,[BACKLOG-156.md](BACKLOG-156.md),
BACKLOG-157,Fix Failing Auth Handler Integration Test,test,service,High,Obsolete,-,~15K,-,-,2026-01-04,,[BACKLOG-157.md](BACKLOG-157.md),
BACKLOG-158,Decompose AuditTransactionModal Component,refactor,ui,Medium,Obsolete,-,~60K,-,-,2026-01-04,,[BACKLOG-158.md](BACKLOG-158.md),
BACKLOG-159,Delete Deprecated PermissionsScreen.tsx,refactor,ui,Medium,Obsolete,-,~10K,-,-,2026-01-04,,[BACKLOG-159.md](BACKLOG-159.md),
BACKLOG-160,Consolidate last_exported_at/on Column Naming,refactor,schema,Low,Pending,-,~5K,-,-,2026-01-17,,-,
BACKLOG-161,Agent Anti-Loop Enforcement (Exploration + Verification),chore,infra,Critical,Pending,-,-,-,-,2026-01-23,,[BACKLOG-161.md](items/BACKLOG-161.md),
BACKLOG-162,Fix CI Validate PR Metrics Bash Escaping,bug,infra,Medium,Pending,-,-,-,-,2026-01-23,,[BACKLOG-162.md](items/BACKLOG-162.md),
BACKLOG-163,Edit Active Transactions,feature,ui,Medium,Pending,SPRINT-026,-,-,-,2026-01-23,,[BACKLOG-163.md](items/BACKLOG-163.md),
BACKLOG-164,"Rename ""Bulk Edit"" to ""Edit"" in Transaction List",chore,ui,Low,Pending,-,-,-,-,2026-01-23,,[BACKLOG-164.md](items/BACKLOG-164.md),
BACKLOG-165,Duplicate Contacts in Import Contacts Page,bug,ui,Medium,Obsolete,SPRINT-055a,~20K,-,Duplicate of BACKLOG-143,2026-01-05,,[BACKLOG-165.md](BACKLOG-165.md),
BACKLOG-166,"Platform Detection Returns ""unknown"" in Renderer",bug,electron,Medium,Pending,-,~15K,-,-,2026-01-05,,[BACKLOG-166.md](BACKLOG-166.md),
BACKLOG-167,Restrict Status Options for Manual Transactions,feature,ui,Low,Completed,-,~15K,-,Already implemented in BulkActionBar.tsx,2026-01-05,2026-01-22,[BACKLOG-167.md](BACKLOG-167.md),
BACKLOG-168,Transaction Bulk Edit Multi-Select Modal,feature,ui,Medium,Pending,-,~20K,-,-,2026-01-05,,[BACKLOG-168.md](BACKLOG-168.md),
BACKLOG-169,Show in Folder Button for Exports,feature,electron,Medium,Completed,SPRINT-028,~15K,-,"TASK-1008, PR #366",2026-01-05,2026-01-10,[BACKLOG-169.md](BACKLOG-169.md),
BACKLOG-170,Messages Not Loading in Attach Modal,bug,ui,Critical,Completed,-,~5K,-,-,2026-01-05,2026-02-19,[BACKLOG-170.md](BACKLOG-170.md),
BACKLOG-171,Contacts Not Pre-Populated When Editing Transaction,bug,ui,High,Obsolete,-,~25K,-,Superseded by BACKLOG-210,2026-01-05,,[BACKLOG-171.md](items/BACKLOG-171.md),
BACKLOG-172,macOS Messages Import,feature,electron,High,Completed,-,~25K,-,-,2026-01-05,2026-01-23,[BACKLOG-172.md](items/BACKLOG-172.md),
BACKLOG-173,Contact-First AttachMessagesModal Interface,feature,ui,High,Completed,-,~40K,-,"TASK-989, PR #353",2026-01-05,2026-01-09,[BACKLOG-173.md](BACKLOG-173.md),
BACKLOG-174,"Redesign ""Start New Audit"" Flow",feature,ui,High,Obsolete,-,~30K,-,-,2026-01-05,,[BACKLOG-174.md](BACKLOG-174.md),
